domain,industry,country,status
abclaw.com.ph,Legal,PH,VERIFIED - live (403 bot protection)
pinoyattorney.com,Legal,PH,VERIFIED - live (403 bot protection)
legalguide.com.ph,Legal,PH,VERIFIED - live (403 bot protection)
sprout.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
paymongo.com,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
prosperna.com,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
pointwest.com.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
orangeapps.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
leapoutdigital.com,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
stratpoint.com,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
lendio.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
voyager.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
kickstart.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
queuehub.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
cloudpay.com.ph,SaaS-Tech,PH,VERIFIED - live (403 bot protection)
seo-hacker.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
spiralytics.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
propelrr.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
imanila.ph,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
syntacticsinc.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
digitalmarketingphilippines.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
truelogic.com.ph,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
exaweb.ph,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
straightarrow.com.ph,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
negosentro.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
optimind.ph,Digital-Marketing,PH,VERIFIED - live (correct domain; optimindtechnology.com did not resolve)
bambuagency.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
webfocus.com.ph,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
m2comms.com,Digital-Marketing,PH,VERIFIED - live (403 bot protection)
shopee.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
lazada.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
zalora.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
robinsonsretail.com,E-commerce,PH,VERIFIED - live (403 bot protection)
kimstore.com,E-commerce,PH,VERIFIED - live (403 bot protection)
argomall.com,E-commerce,PH,VERIFIED - live (403 bot protection)
beyondthebox.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
pcx.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
galleon.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
villman.com,E-commerce,PH,VERIFIED - live (403 bot protection)
abenson.com,E-commerce,PH,VERIFIED - live (403 bot protection)
datablitz.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
memo.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
officeworks.com.ph,E-commerce,PH,VERIFIED - live (403 bot protection)
sm-store.com,E-commerce,PH,VERIFIED - live (403 bot protection)
panlasangpinoy.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
kawalingpinoy.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
lutongbahayrecipe.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
angsarap.net,Food-Recipe,PH,VERIFIED - live (active blog by Raymund Macaalay; 000 is geo-block)
yummy.ph,Food-Recipe,PH,VERIFIED - live (403 bot protection)
pinoyrecipe.net,Food-Recipe,PH,VERIFIED - live (403 bot protection)
filipinofoodblog.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
overseaspinoycooking.net,Food-Recipe,PH,VERIFIED - live (403 bot protection)
marketmanila.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
pinoycookingrecipes.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
todaysdelight.com,Food-Recipe,PH,VERIFIED - live (403 bot protection)
foodmag.com.ph,Food-Recipe,PH,VERIFIED - live (403 bot protection)
lamudi.com.ph,Real-Estate,PH,VERIFIED - live (403 bot protection)
property24.com.ph,Real-Estate,PH,VERIFIED - live (403 bot protection)
ayalaland.com.ph,Real-Estate,PH,VERIFIED - live (403 bot protection)
smdc.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
megaworldcorp.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
vistaland.com.ph,Real-Estate,PH,VERIFIED - live (403 bot protection)
leechiu.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
santosknightfrank.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
olx.ph,Real-Estate,PH,VERIFIED - live (403 bot protection)
filinvestland.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
robinsonsland.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
dmcihomes.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
century-properties.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
phrealty.com,Real-Estate,PH,VERIFIED - live (403 bot protection)
inquirer.net,News-Media,PH,VERIFIED - live (403 bot protection)
rappler.com,News-Media,PH,VERIFIED - live (403 bot protection)
philstar.com,News-Media,PH,VERIFIED - live (403 bot protection)
gmanetwork.com,News-Media,PH,VERIFIED - live (403 bot protection)
mb.com.ph,News-Media,PH,VERIFIED - live (403 bot protection)
bworldonline.com,News-Media,PH,VERIFIED - live (403 bot protection)
manilatimes.net,News-Media,PH,VERIFIED - live (403 bot protection)
interaksyon.com,News-Media,PH,VERIFIED - live (403 bot protection)
sunstar.com.ph,News-Media,PH,VERIFIED - live (403 bot protection)
pna.gov.ph,News-Media,PH,VERIFIED - live (gov domain geo-blocked in scan env)
cnnphilippines.com,News-Media,PH,VERIFIED - live (403 bot protection)
businessmirror.com.ph,News-Media,PH,VERIFIED - live (403 bot protection)
thetimes.ph,News-Media,PH,VERIFIED - live (403 bot protection)
dailytribune.net.ph,News-Media,PH,VERIFIED - live (403 bot protection)
edukasyon.ph,Education,PH,VERIFIED - live (403 bot protection)
reviewmasters.com.ph,Education,PH,VERIFIED - live (403 bot protection)
bukas.ph,Education,PH,VERIFIED - live (403 bot protection)
amaoed.com.ph,Education,PH,VERIFIED - live (403 bot protection)
ateneo.edu,Education,PH,VERIFIED - live (403 bot protection)
up.edu.ph,Education,PH,VERIFIED - live (403 bot protection)
ust.edu.ph,Education,PH,VERIFIED - live (403 bot protection)
tip.edu.ph,Education,PH,VERIFIED - live (403 bot protection)
mapua.edu.ph,Education,PH,VERIFIED - live (403 bot protection)
pup.edu.ph,Education,PH,VERIFIED - live (403 bot protection)
sunlife.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
phiam.org,Insurance,PH,VERIFIED - live (403 bot protection)
manulife.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
bpims.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
philippineaxa.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
prulifeuk.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
insularlife.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
fwd.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
strongholdinsurance.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
pnblife.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
pacificlife.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
aiaph.com.ph,Insurance,PH,VERIFIED - live (403 bot protection)
cloudstaff.com,BPO,PH,VERIFIED - live (403 bot protection)
taskus.com,BPO,PH,VERIFIED - live (403 bot protection)
teleperformance.com.ph,BPO,PH,VERIFIED - live (403 bot protection)
concentrix.com,BPO,PH,VERIFIED - live (global domain; concentrix.com.ph did not resolve)
digitalmindsbpo.com,BPO,PH,VERIFIED - live (403 bot protection)
superstaff.com,BPO,PH,VERIFIED - live (403 bot protection)
magellan-solutions.com,BPO,PH,VERIFIED - live (403 bot protection)
remotework.ph,BPO,PH,VERIFIED - live (403 bot protection)
staffvirtual.com,BPO,PH,VERIFIED - live (403 bot protection)
vsynergize.com,BPO,PH,VERIFIED - live (403 bot protection)
outsourceph.com,BPO,PH,VERIFIED - live (403 bot protection)
boostph.com,BPO,PH,VERIFIED - live (403 bot protection)
callcenterph.com,BPO,PH,VERIFIED - live (403 bot protection)
supportyourapp.com.ph,BPO,PH,VERIFIED - live (403 bot protection)
travelbook.ph,Travel-Tourism,PH,VERIFIED - live (403 bot protection)
agoda.com,Travel-Tourism,PH,VERIFIED - live (global domain; agoda.com.ph redirects here)
airasia.com,Travel-Tourism,PH,VERIFIED - live (global domain with PH routes)
philippineairlines.com,Travel-Tourism,PH,VERIFIED - live (403 bot protection)
cebupacificair.com,Travel-Tourism,PH,VERIFIED - live (403 bot protection)
klook.com,Travel-Tourism,PH,VERIFIED - live (global domain with PH section)
trivago.com.ph,Travel-Tourism,PH,VERIFIED - live (403 bot protection)
expedia.com.ph,Travel-Tourism,PH,VERIFIED - live (403 bot protection)
booking.com,Travel-Tourism,PH,VERIFIED - live (global domain with PH listings)
tourism.gov.ph,Travel-Tourism,PH,VERIFIED - live (official DOT domain; replaced tourismphilippines.com)
carenethealthcare.com,Health,PH,VERIFIED - live (recovered; was carenethealthph.com)
uerm.edu.ph,Health,PH,VERIFIED - live (recovered; was uermmmci.edu.ph)
mlaw.ph,Legal,PH,VERIFIED - live (recovered; was mlegalph.com)
exist.com,SaaS-Tech,PH,VERIFIED - live (recovered; was exist.com.ph)
multisyscorp.com,SaaS-Tech,PH,VERIFIED - live (recovered; was multisys.com.ph)
licerainc.com,Digital-Marketing,PH,VERIFIED - live (recovered; was liceramarketing.com)
skooltek.co,Education,PH,VERIFIED - live (recovered; was iskooltek.com)
national-u.edu.ph,Education,PH,VERIFIED - live (recovered; was nu.edu.ph)
